Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
LBCLASTD10;STD E27 DIM 11W 1060LM 827 5P;COREDIME;Lit by Cardi;Ampoules;11,38876923;LBCLASTD10;LBCLASTD10;AMP_LED_E27;;;;;;;;;
LBCLASTD11;STD E27 DIM 11W 1060LM 840 X5P;COREDIME;Lit by Cardi;Ampoules;11,38876923;LBCLASTD11;LBCLASTD11;AMP_LED_E27;;;;;;;;;
LBCLASTD12;STD E27 DI 13.6W 1521LM 827 5P;COREDIME;Lit by Cardi;Ampoules;15,75892308;LBCLASTD12;LBCLASTD12;AMP_LED_E27;;;;;;;;;
LBCLASTD13;STD E27 DI 13.6W 1521LM 840 5P;COREDIME;Lit by Cardi;Ampoules;15,75892308;LBCLASTD13;LBCLASTD13;AMP_LED_E27;;;;;;;;;
LCB2710;LAMPE LED DEP E27 10W 2700K;RAVATE ELEC;;Ampoules;2,31;LCB2710;LCB2710;AMP_LED_E27_2700K;;;;;;;;;
LEDVA-015743;NAV-T 100W SUPER 4Y E40;STAND 64;Osram;Ampoules;16,21;LEDVA-015743;LEDVA-015743;;;;;;;;;;
LEDVA-062582;E27 LED A60 6.5W 806lm 2700K CLAIRE;STAND 64;Ledvance;Ampoules;4,17;LEDVA-062582;LEDVA-062582;AMP_LED_E27_2700K;;;;;;;;;
LEDVA-152632;E27 LED PACK X5 8,5W 840 E27;STAND 64;Ledvance;Ampoules;7,9;LEDVA-152632;LEDVA-152632;AMP_LED_E27;;;;;;;;;
LEDVA-592032;E27 LED A60 6.5W 806lm 2700K CLAIRE;STAND 64;Osram;Ampoules;4,17;LEDVA-592032;LEDVA-592032;AMP_LED_E27_2700K;;;;;;;;;
LEDVA-593251;E14 LED P40 470lm;STAND 64;Osram;Ampoules;4,85;LEDVA-593251;LEDVA-593251;AMP_LED_E14;;;;;;;;;
OSR415416;LAMPE SON-T PIA PLUS 70W E27;RAVATE ELEC;Osram;Ampoules;9,18;OSR415416;OSR415416;AMP_LED_E27;;;;;;;;;
SY0029562;Lampe LED E27 9W 850Lm 4000K ToLEDo Stick V4;COMINTER;Sylvania;Ampoules;2,89;SY0029562;SY0029562;AMP_LED_E27_4000K;;;;;;;;;
SY0029649;Lampe LED TOLEDO GLS A60 8W 806LM 2700K 827 B22 x10;COMINTER;Sylvania;Ampoules;12,6;SY0029649;SY0029649;AMP_LED_B22_2700K;PACK DE 10 AMPOULES LED - 09/2025;;;;;;;;
SY0029651;Lampe LED TOLEDO GLS A60 8W 806LM 4000K 840 E27 x10;COMINTER;Sylvania;Ampoules;12,6;SY0029651;SY0029651;AMP_LED_E27_4000K;PACK DE 10 AMPOULES LED - 09/2025;;;;;;;;
VTA217261;Ampoule LED E27 8.5W A60 4000K;RAVATE ELEC;V-Tac;Ampoules;1,51;VTA217261;VTA217261;AMP_LED_E27_4000K;;;;;;;;;
30007;Ampoule à led E27;;;Ampoules;1,75;30007;30007;AMP_LED_E27;;;;;;;;;
ECLLED100471;Alimentation pour LED 100W IP67 12V DC;COMINTER;Miidex Lighting;Ampoules;38,36;ECLLED100471;ECLLED100471;;;;;;;;;;
015743;Lampe sodium NAV-T 100W SUPER 4Y E40;COREDIME;L'Ebénoïd;Ampoules;40,6875;EBE015743;015743;;;;;;;;;;
4280;P.2P+T 10/16A ECLIPS FR/BELGE;RAVATE ELEC;Legrand;Appareillage;5,23;LEG4280;4280;;;;;;;;;;
25448;SORTIE DE CABLE 20/32A A VIS;109 Distribution;L'Ebénoïd;Appareillage;4;EBE25448;25448;;;;;;;;;;
25508;CADRE SAILLIE 100X100 SORTIE CABLE 32A;109 Distribution;L'Ebénoïd;Appareillage;5,5;EBE25508;25508;;;;;;;;;;
31408;Cadre saillie 1 poste moulures DLPlus épaisseur 20mm - blanc;COMINTER;Legrand;Appareillage;5,08;LEG31408;31408;;;;;;;;;;
60260;PRISE 2P+T BLC SQUARE;109 Distribution;Eurohm;Appareillage;2;60260;60260;;;;;;;;;;
60295;PLAQUE BLANC 1P SQUARE;109 Distribution;Eurohm;Appareillage;0,9;60295;60295;;;;;;;;;;
61401;PRISE 2P+T 45X45 OPTIMA;109 Distribution;Eurohm;Appareillage;3;61401;61401;;;;;;;;;;
61800;Interrupteurs à encastrer avec griffes;109 Distribution;Eurohm;Appareillage;2,25;61800;61800;;;;;;;;;;
61801;Interrupteur VV encastré ESPRIT;109 Distribution;Eurohm;Appareillage;0,8;61801;61801;;;;;;;;;;
61823;INTER VOLET ROULANT ESPRIT;109 Distribution;Eurohm;Appareillage;11,9;61823;61823;;;;;;;;;;
61857;Prises 2P+T à encastrer avec griffes;109 Distribution;Eurohm;Appareillage;3;61857;61857;;;;;;;;;;
61890;SORTIE DE CABLE 10/20A ESPRIT;109 Distribution;Eurohm;Appareillage;2,5;61890;61890;;;;;;;;;;
61891;CADRE SAILLIE ESPRIT;109 Distribution;Eurohm;Appareillage;3;61891;61891;;;;;;;;;;
61895;PLAQUE BLANCHE 1POSTE ESPRIT;109 Distribution;Eurohm;Appareillage;0,8;61895;61895;;;;;;;;;;
66631;Plaque Céliane Laqué 1 poste - finition Yesterday;GMR;Legrand;Appareillage;1,17;LEG66631;66631;;;;;;;;;;
66632;Plaque Céliane Laqué 2 postes - finition Yesterday;GMR;Legrand;Appareillage;2,34;LEG66632;66632;;;;;;;;;;
66633;Plaque Céliane Laqué 3 postes - finition Yesterday;GMR;Legrand;Appareillage;3,5;LEG66633;66633;;;;;;;;;;
67001;Interrupteur ou VV ou commande de VMC Céliane 10AX 230V~;GMR;Legrand;Appareillage;3,25;LEG67001;67001;;;;;;;;;;
67111;Prise de courant standard Français Céliane 16A;GMR;Legrand;Appareillage;2,39;LEG67111;67111;;;;;;;;;;
67902;Enjoliveur large Céliane double interrupteur, VV ou poussoir - graphite;GMR;Legrand;Appareillage;3,4;LEG67902;67902;;;;;;;;;;
68001;Enjoliveur large Céliane pour interrupteur;GMR;Legrand;Appareillage;0,67;LEG68001;68001;;;;;;;;;;
68111;Enjoliveur Céliane pour prise de courant 2P+T;GMR;Legrand;Appareillage;0,66;LEG68111;68111;;;;;;;;;;
68921;PLAQUE 1P ALUMINIUM;COREDIME;Legrand;Appareillage;8,8725;LEG68921;68921;;;;;;;;;;
69525;Inter double va et vient plexo encastré;RAVATE ELEC;Legrand;Appareillage;14,54;LEG69525;69525;;;;;;;;;;
69580;Adaptateur opaque Plexo composable IP55 pour Mosaic 2 mod;GMR;Legrand;Appareillage;8,6256;LEG69580;69580;;;;;;;;;;
69651;Boîtier à embouts 1 poste Plexo composable IP55 - gris;GMR;Legrand;Appareillage;1,9154;LEG69651;69651;;;;;;;;;;
69681;Support pour Boitier 1 P Plexo gris;COMINTER;Legrand;Appareillage;2,93;LEG69681;69681;;;;;;;;;;
69711;Interrupteur ou va-et-vient étanche Plexo complet IP55 saillie;GMR;Legrand;Appareillage;;LEG69711;69711;;;;;;;;;;
69720;Poussoir NO 10A Plexo complet saillie gris;GMR;Legrand;Appareillage;8,1473;LEG69720;69720;;;;;;;;;;
69731;Prise 2P+T saillie Plexo gris;RAVATE ELEC;Legrand;Appareillage;5,94;LEG69731;69731;;;;;;;;;;
69811;INTER VV ETANCHE ENCASTRE;COREDIME;Legrand;Appareillage;6,96;LEG69811;69811;;;;;;;;;;
69824;BP Plexo encastré lumineux temporisé;GMR;Legrand;Appareillage;;LEG69824;69824;;;;;;;;;;
69831;Prise de courant Plexo encastré;Coredime;Legrand;Appareillage;7,09;LEG69831;69831;;;;;;;;;;
69848;Sortie de câble Plexo encastré;COREDIME;Legrand;Appareillage;14,2206;LEG69848;69848;;;;;;;;;;
69901;VV GRIS SAILLIE PLEXO CPT;COREDIME;Legrand;Appareillage;9,6289;LEG69901;69901;;;;;;;;;;
69910;PC étanche avec volet de protection;COREDIME;Legrand;Appareillage;10,5064;LEG69910;69910;;;;;;;;;;
75611;Embout pour goulotte à clippage direct Mosaic 50x80mm - blanc;GMR;Legrand;Appareillage;4,213;LEG75611;75611;;;;;;;;;;
75690;SOLUCLIP GLT MOSAIC;RAVATE ELEC;Legrand;Appareillage;3,06;LEG75690;75690;;;;;;;;;;
76565;RJ45 C6 FTP 2 M MOSAIC;COREDIME;Legrand;Appareillage;5,4537;LEG76565;76565;;;;;;;;;;
77026;Interrupteur de volets roulants 500W maximum;GMR;Legrand;Appareillage;26,92;LEG77026;77026;;;;;;;;;;
77070;Obturateur Mosaic 1 module - blanc;RAVATE ELEC;Legrand;Appareillage;1,84;LEG77070;77070;;;;;;;;;;
77071;Obturateur Mosaic 2 modules - blanc;RAVATE ELEC;Legrand;Appareillage;;LEG77071;77071;;;;;;;;;;
77072;Interrupteur à clé Mosaic - 2 positions - clé RONIS -;GMR;Legrand;Appareillage;106,66;LEG77072;77072;;;;;;;;;;
77550;SORTIE DE CABLE 20A;RAVATE ELEC;Legrand;Appareillage;3,72;LEG77550;77550;;;;;;;;;;
78786;MOSAIC PRISE TV/FM/SAT;RAVATE ELEC;Legrand;Appareillage;13,23;LEG78786;78786;;;;;;;;;;
78802;PLAQUE DE FINITION MOSAIC PLAQUE 1 POSTE (2M);109 Distribution;Legrand;Appareillage;1,5;LEG78802;78802;;;;;;;;;;
80251;Support à vis pour Mosaic , Céliane ou Soliroc pour 1 poste ou - 2 mod;RAVATE ELEC;Legrand;Appareillage;0,89;LEG80251;80251;;;;;;;;;;
80252;SUPPORT MOSAIC 4/5 OU 2X2M;GMR;Legrand;Appareillage;3,12;LEG80252;80252;;;;;;;;;;
80253;SUPPORT 6/8 OU 3X2M;RAVATE ELEC;Legrand;Appareillage;6,51;LEG80253;80253;;;;;;;;;;
80254;SUPPORT 10 OU 4X2M;RAVATE ELEC;Legrand;Appareillage;8,28;LEG80254;80254;;;;;;;;;;
80266;SUPPORT P/2X6,2X8,2X3X2 MODULE;RAVATE ELEC;Legrand;Appareillage;12,23;LEG80266;80266;;;;;;;;;;
80281;Cadre Mosaic 2 mod prof 40mm;109 Distribution;Legrand;Appareillage;3;LEG80281;80281;;;;;;;;;;
80284;MOSAIC CADRE SAILLIE;RAVATE ELEC;Legrand;Appareillage;14,44;LEG80284;80284;;;;;;;;;;
80285;Cadre saillie Mosaic;GMR;Legrand;Appareillage;7,06;LEG80285;80285;;;;;;;;;;
86001;Interrupteur va-et-vient OTEO saillie complet - blanc;COMINTER;Legrand;Appareillage;6,6;LEG86001;86001;;;;;;;;;;
86006;Poussoir 6A Appareillage saillie complet - blanc;RAVATE ELEC;Legrand;Appareillage;9,98;LEG86006;86006;;;;;;;;;;
86017;VV témoin lumineux;RAVATE ELEC;Legrand;Appareillage;15,56;LEG86017;86017;;;;;;;;;;
86020;Double va-et-vient Appareillage saillie complet - blanc;RAVATE ELEC;Legrand;Appareillage;13,42;LEG86020;86020;;;;;;;;;;
86027;Prise de courant 2P+T à bornes automatiques blanc - OTEO Complet;RAVATE ELEC;Legrand;Appareillage;5,81;LEG86027;86027;;;;;;;;;;
86042;Prise TV-R-SAT Appareillage saillie complet - blanc;GMR;Legrand;Appareillage;24,43;LEG86042;86042;;;;;;;;;;
86047;Prise RJ45 catégorie 6 FTP Appareillage saillie complet - blanc;GMR;Legrand;Appareillage;19,5;LEG86047;86047;;;;;;;;;;
86091;Cadre saillie 1 poste Appareillage saillie blanc;109 Distribution;Legrand;Appareillage;2,0009;LEG86091;86091;;;;;;;;;;
86101;Interrupteur va-et-vient Appareillage saillie composable - blanc;GMR;Legrand;Appareillage;5,5418;LEG86101;86101;;;;;;;;;;
86106;Poussoir  6A appareillage saillie composable - blanc;GMR;Legrand;Appareillage;7,8267;LEG86106;86106;;;;;;;;;;
86110;BP VR saillie composable - blanc;RAVATE ELEC;Legrand;Appareillage;23,01;LEG86110;86110;;;;;;;;;;
86113;Interrupteur pour volets roulants Appareillage saillie composable - blanc;RAVATE ELEC;Legrand;Appareillage;22,49;LEG86113;86113;;;;;;;;;;
86120;Double va-et-vient Appareillage saillie composable - blanc;GMR;Legrand;Appareillage;13,0784;LEG86120;86120;;;;;;;;;;
86127;Prise de courant 2P+T à bornes automatiques Appareillage saillie composable - blanc;COREDIME;Legrand;Appareillage;3,85;LEG86127;86127;;;;;;;;;;
86133;Prise RJ45 numéris ou internet 8 contacts Appareillage saillie composable - blanc;GMR;Legrand;Appareillage;;LEG86133;86133;;;;;;;;;;
86142;Prise TV-R-SAT Appareillage saillie composable - blanc;GMR;Legrand;Appareillage;28,5485;LEG86142;86142;;;;;;;;;;
86147;PRISE RJ45 CAT.6 FTP 9CONTACTS;GMR;Legrand;Appareillage;16,1603;LEG86147;86147;;;;;;;;;;
94270;Kit carillon radio sans fils Sérénité simple à piles - blanc;COREDIME;Legrand;Appareillage;30;LEG94270;94270;;;;;;;;;;
98985;Prise de courant avec terre pour moulure Appareillage Saillie;GMR;Legrand;Appareillage;4,3021;LEG98985;98985;;;;;;;;;;
600001;Interrupteur ou VV Dooxie;COREDIME;Legrand;Appareillage;2,07;LEG600001;600001;;;85365080;;Boîte;;;20;;
600002;Inter double va et vient Dooxie;RAVATE ELEC;Legrand;Appareillage;4,4;LEG600002;600002;;;85365080;;Boîte;;;20;;
600004;Poussoir blanc;COREDIME;Legrand;Appareillage;2,5244;LEG600004;600004;;;;;;;;;;
600011;Interrupteur simple lumineux;RAVATE ELEC;Legrand;Appareillage;7,04;LEG600011;600011;;;;;;;;;;
600018;Bouton Poussoir;GMR;Legrand;Appareillage;6,3;LEG600018;600018;;;;0,1;Carton;;;;;
600021;Commande volet roulant;COREDIME;Legrand;Appareillage;20,27;LEG600021;600021;;;;;;;;;;
600041;Socle simple pour appareillage dooxie;GMR;Legrand;Appareillage;3,99;LEG600041;600041;;;0;0,1;Carton;;;20;;
600042;socle double pour appareillage dooxie ;GMR;Legrand;Appareillage;4,04;LEG600042;600042;;;;;;;;;;
600044;OBTURATEUR DOOXIE;GMR;Legrand;Appareillage;;LEG600044;600044;;;;;;;;;;
600047;Griffe pour appareillage dooxie;109 Distribution;Legrand;Appareillage;0,85;LEG600047;600047;;;;;;;;;;
600049;Griffe pour appareillage dooxie;GMR;Legrand;Appareillage;0,25;LEG600049;600049;;;;;;;;;;
600060; Variateur toutes lampes dooxie 2 fils sans Neutre finition blanc;GMR;Legrand;Appareillage;54,36;LEG600060;600060;;;;;;;;;;
600323;Sortie de câble;COREDIME;Legrand;Appareillage;1,6;LEG600323;600323;;;85366990;;Boîte;;;10;;
600324;Sortie de câble IP44 dooxie livrée complète avec plaque finition blanc;RAVATE ELEC;Legrand;Appareillage;;LEG600324;600324;;;;;;;;;;
600332;Double prise de courant 2P+T Surface dooxie 16A précâblées finition blanc;GMR;Legrand;Appareillage;7,91;LEG600332;600332;;;;;;;;;;
600335;Prise de courant Dooxie;COREDIME;Legrand;Appareillage;2,13;LEG600335;600335;;;85366990;;Boîte;;;10;;
600341; DOOXIE PRISE DE COURANT + CHARGEUR USB TYPE C 1 POSTE BLANC;GMR;Legrand;Appareillage;27,36;LEG600341;600341;;;;;;;;;;
600344;Prise de courant 2P+T à puits dooxie 16A IP44 livrée avec plaque;GMR;Legrand;Appareillage;7,7169;LEG600344;600344;;;;;;;;;;
600351;Dooxie prise TV simple blc;RAVATE ELEC;Legrand;Appareillage;13,15;LEG600351;600351;;;;;;;;;;
600353;Prise TV Dooxie;COREDIME;Legrand;Appareillage;11,77;LEG600353;600353;;;85366990;;Boîte;;;10;;
600374;Prise RJ45;COMINTER;Legrand;Appareillage;5,65;LEG600374;600374;;;;;;;;;;
600375;Prises RJ 45 Dooxie;GMR;Legrand;Appareillage;8,91;LEG600375;600375;;;;;;;;;;
600376;RJ45 cat.6 FTP blanc;Coredime;Legrand;Appareillage;5,16;LEG600376;600376;;;85366990;;Boîte;;;10;;
600730;Inter double lumineux;RAVATE ELEC;Legrand;Appareillage;15,99;LEG600730;600730;;;;;;;;;;
600801;Plaque de finition Dooxie;COREDIME;Legrand;Appareillage;0,55;LEG600801;600801;;;85389099;;Boîte;;;100;;
600802;Plaque carrée dooxie 2 postes finition blanc;GMR;Legrand;Appareillage;1,43;LEG600802;600802;;;;;;;;;;
600861;PLAQUE 1P NOIR VELOURS;COREDIME;Legrand;Appareillage;4,395;LEG600861;600861;;;;;;;;;;
100036016;PLAQUE 2X6M BLANC;RAVATE ELEC;;Appareillage;23,98;100036016;100036016;;;;;;;;;;
0.214.71;FICHE MALE 16A 2P+T IP40;RAVATE ELEC;;Appareillage;4,57;0.214.71;0.214.71;;;;;;;;;;
0.214.74;FICHE FEMELLE 16A 2P+T IP44;RAVATE ELEC;;Appareillage;5,5;0.214.74;0.214.74;;;;;;;;;;
004280;P.2P+T 10/16A ECLIPS FR/BELGE;RAVATE ELEC;Legrand;Appareillage;5,23;LEG004280;004280;;;;;;;;;;
02-NU986618;Unica - obturateur - 2 modules - Blanc - mécanisme seul;GMR;Schneider Electric;Appareillage;2,11;02-NU986618;02-NU986618;;;;;;;;;;
031408;Cadre saillie 1 poste moulures DLPlus épaisseur 20mm - blanc;COMINTER;Legrand;Appareillage;5,08;LEG031408;031408;;;;;;;;;;
066631;Plaque Céliane Laqué 1 poste - finition Yesterday;GMR;Legrand;Appareillage;1,17;LEG066631;066631;;;;;;;;;;
066632;Plaque Céliane Laqué 2 postes - finition Yesterday;GMR;Legrand;Appareillage;2,34;LEG066632;066632;;;;;;;;;;
066633;Plaque Céliane Laqué 3 postes - finition Yesterday;GMR;Legrand;Appareillage;3,5;LEG066633;066633;;;;;;;;;;
067001;Interrupteur ou VV ou commande de VMC Céliane 10AX 230V~;GMR;Legrand;Appareillage;3,25;LEG067001;067001;;;;;;;;;;
067111;Prise de courant standard Français Céliane 16A;GMR;Legrand;Appareillage;2,39;LEG067111;067111;;;;;;;;;;
067686L;Voyant lumineux 230V Easy-Led brochable à LEDs blanches pour mécanismes Mosaic - socle gris;COREDIME;Legrand;Appareillage;6,6151;LEG067686L;067686L;;;;;;;;;;
067725A;PC connectée Céliane Netatmo 16A 3680W mesure et suivi consommation - blc ss plaque;COREDIME;Legrand;Appareillage;52,8375;LEG067725A;067725A;;;;;;;;;;
067902;Enjoliveur large Céliane double interrupteur, VV ou poussoir - graphite;GMR;Legrand;Appareillage;3,4;LEG067902;067902;;;;;;;;;;
068001;Enjoliveur large Céliane pour interrupteur;GMR;Legrand;Appareillage;0,67;LEG068001;068001;;;;;;;;;;
068111;Enjoliveur Céliane pour prise de courant 2P+T;GMR;Legrand;Appareillage;0,66;LEG068111;068111;;;;;;;;;;
06860L;PC 2P+T Plexo complet encastré anthracite;GMR;Legrand;Appareillage;8,99;LEG06860L;06860L;;;;;;;;;;
068921;PLAQUE 1P ALUMINIUM;COREDIME;Legrand;Appareillage;8,8725;LEG068921;068921;;;;;;;;;;
069504;Inter tempo a voyant compo;COMINTER;Legrand;Appareillage;55,58;LEG069504;069504;;;;;;;;;;
069513L;Interrupteur ou VV lumineux Plexo composable gris;GMR;Legrand;Appareillage;11;LEG069513L;069513L;;;;0,5;Colis;;;;;
069525;Inter double va et vient plexo encastré;RAVATE ELEC;Legrand;Appareillage;14,54;LEG069525;069525;;;;;;;;;;
069525L;CDE DOUBLE 10AX GRIS COMPO;RAVATE ELEC;Legrand;Appareillage;23;LEG069525L;069525L;;;;;;;;;;
069538L;INTERRUPTEUR VR GRIS COMPO;GMR;Legrand;Appareillage;28,69;LEG069538L;069538L;;;;;;;;;;
069539L;POUSSOIR VR GRIS COMPO;RAVATE ELEC;Legrand;Appareillage;30;LEG069539L;069539L;;;;;;;;;;
069540L;Poussoir NO étanche Plexo 10A IP55 IK08 avec enjoliveur finition gris;RAVATE ELEC;Legrand;Appareillage;4,4;LEG069540L;069540L;;;;;;;;;;
069544L;BP NO-NF lumineux porte-étiquette avec voyant Plexo;GMR;Legrand;Appareillage;17,97;LEG069544L;069544L;;;;;;;;;;
069547L;COUP DE POING URGENCE COMPO;RAVATE ELEC;Legrand;Appareillage;49;LEG069547L;069547L;;Arrêt d'urgence plexo;;;;;;;;
069550L;Sortie de câble étanche avec serre câble et enjoliveur - gris;RAVATE ELEC;Legrand;Appareillage;;LEG069550L;069550L;;;;;;;;;;
069551L;2P+T F/B GRIS COMPO;RAVATE ELEC;Legrand;Appareillage;8,02;LEG069551L;069551L;;;;;;;;;;
069559L;Prise informatique RJ45 catégorie 6A STP étanche à volet Plexo IP55 avec enjoliveur finition gris;COMINTER;Legrand;Appareillage;;LEG069559L;069559L;;;;;;;;;;
069569L;Prise informatique RJ45 catégorie 6 FTP étanche à volet Plexo IP55 avec enjoliveur finition gris;COMINTER;Legrand;Appareillage;27,06;LEG069569L;069569L;;;;;;;;;;
069570L;PC 2P+T Plexo 16A - standard schuko - avec enjoliveur Gris;RAVATE ELEC;Legrand;Appareillage;;LEG069570L;069570L;;;;;;;;;;
069580;Adaptateur opaque Plexo composable IP55 pour Mosaic 2 mod;GMR;Legrand;Appareillage;8,6256;LEG069580;069580;;;;;;;;;;
069580L;ADAPT MOSAIC VOLET TRANS COMPO;RAVATE ELEC;Legrand;Appareillage;11,35;LEG069580L;069580L;;;;;;;;;;
069608L;SUPPORT ENCASTRE 3P H/V ANTH;RAVATE ELEC;Legrand;Appareillage;15,48;LEG069608L;069608L;;;;;;;;;;
069642L;2X2P+T F-B HOR BLANC COMPO;COREDIME;Legrand;Appareillage;19,8897;LEG069642L;069642L;;;;;;;;;;
069651;Boîtier à embouts 1 poste Plexo composable IP55 - gris;GMR;Legrand;Appareillage;1,9154;LEG069651;069651;;;;;;;;;;
069651L;Boîtier à embouts 1 poste Plexo composable IP55 -;GMR;Legrand;Appareillage;2,18;LEG069651L;069651L;;;;;;;;;;
069672L;Boîtier saillie Plexo 2 postes horizontaux et verticaux sans cloison avec 4 embouts à membrane - gris;COMINTER;Legrand;Appareillage;;LEG069672L;069672L;;;;;;;;;;
069681;Support pour Boitier 1 P Plexo gris;COMINTER;Legrand;Appareillage;2,93;LEG069681;069681;;;;;;;;;;
069681L;SUPPORT ENCASTRE 1 POSTE GRIS;RAVATE ELEC;Legrand;Appareillage;4,25;LEG069681L;069681L;;;;0,2;Colis;;;;;
069683L;Support plaque étanche pour montage encastré 2 postes horizontaux ou verticaux Plexo - gris;COMINTER;Legrand;Appareillage;9,4;LEG069683L;069683L;;;;;;;;;;
069687L;SUPPORT ENCASTRE 3P H/V GRIS;RAVATE ELEC;Legrand;Appareillage;15,14;LEG069687L;069687L;;;;;;;;;;
069711;Interrupteur ou va-et-vient étanche Plexo complet IP55 saillie;GMR;Legrand;Appareillage;;LEG069711;069711;;;;;;;;;;
069711L;Interrupteur VV étanche saillie gris;COREDIME;Legrand;Appareillage;6,4949;LEG069711L;069711L;;;;;;;;;;
069712L;Interr VV témoin avec voyant  Plexo 10AX 250V~ IP55 IK08 complet saillie - gris;RAVATE ELEC;Legrand;Appareillage;;LEG069712L;069712L;;;;;;;;;;
069713L;Inter lumineux etanche ;COREDIME;Legrand;Appareillage;6,0536;LEG069713L;069713L;;;;;;;;;;
069715L;Interr double étanche IP55 IK08 livrée complète pour fixation saillie - gris;GMR;Legrand;Appareillage;12,0773;LEG069715L;069715L;;;;;;;;;;
069720;Poussoir NO 10A Plexo complet saillie gris;GMR;Legrand;Appareillage;8,1473;LEG069720;069720;;;;;;;;;;
069720L;POUSSOIR NO gris saillie;RAVATE ELEC;Legrand;Appareillage;13;LEG069720L;069720L;;;;;;;;;;
069722L;POUSSOIR NO LUM GRIS SAILLIE;RAVATE ELEC;Legrand;Appareillage;9,39;LEG069722L;069722L;;;;;;;;;;
069731;Prise 2P+T saillie Plexo gris;RAVATE ELEC;Legrand;Appareillage;5,94;LEG069731;069731;;;;;;;;;;
069731L;Prise 2P+T saillie Plexo gris;RAVATE ELEC;Legrand;Appareillage;5,88;LEG069731L;069731L;;;85366990;;Boîte;;;10;;
069761L;Interrupteur ou va-et-vient étanche Plexo 10AX 250V~ IP55 IK08 livré complet pour fixation saillie - anthracite;COREDIME;Legrand;Appareillage;7,0028;LEG069761L;069761L;;;;;;;;;;
069791L;Prise de courant 2P+T étanche Plexo 16A 250V IP55 IK08 livrée complète pour fixation saillie - anthracite;RAVATE ELEC;Legrand;Appareillage;;LEG069791L;069791L;;;;;;;;;;
069810L;Poussoir NO étanche Plexo 10A IP55 IK08 avec enjoliveur finition anthracite;RAVATE ELEC;Legrand;Appareillage;;LEG069810L;069810L;;;;;;;;;;
069811;INTER VV ETANCHE ENCASTRE;COREDIME;Legrand;Appareillage;6,96;LEG069811;069811;;;;;;;;;;
069811L;Interrupteur ou va-et-vient Plexo complet encastré - Gris;RAVATE ELEC;Legrand;Appareillage;7,18;LEG069811L;069811L;;;;;;;;;;
069815L;CDE DOUBLE 10AX GRIS ENCASTRE;RAVATE ELEC;Legrand;Appareillage;28,23;LEG069815L;069815L;;;;;;;;;;
069820L;BP NO étanche Plexo 10A IP55 IK08 complet encastré - gris;RAVATE ELEC;Legrand;Appareillage;16,71;LEG069820L;069820L;;;;;;;;;;
069821;inter lumineux etanche encastré;COREDIME;Legrand;Appareillage;14,2206;LEG069821;069821;;;;;;;;;;
069824;BP Plexo encastré lumineux temporisé;GMR;Legrand;Appareillage;;LEG069824;069824;;;;;;;;;;
069824L;BP Plexo encastré lumineux temporisé;RAVATE ELEC;Legrand;Appareillage;22,16;LEG069824L;069824L;;;;;;;;;;
069831;Prise de courant Plexo encastré;Coredime;Legrand;Appareillage;7,09;LEG069831;069831;;;;;;;;;;
069831L;Prise de courant Plexo encastré;RAVATE ELEC;Legrand;Appareillage;7,55;LEG069831L;069831L;;;;0,5;Colis;;;;;
069832L;BP NO lumineux voyant Plexo 10A IP55 IK08 pour fixation en encastré - gris;RAVATE ELEC;Legrand;Appareillage;18,09;LEG069832L;069832L;;;;;;;;;;
069844L;3X2P+T F/B HOR ANTH COMPO;RAVATE ELEC;Legrand;Appareillage;29,14;LEG069844L;069844L;;;;;;;;;;
069848;Sortie de câble Plexo encastré;COREDIME;Legrand;Appareillage;14,2206;LEG069848;069848;;;;;;;;;;
069848L;Sortie de câble étanche;RAVATE ELEC;Legrand;Appareillage;13,81;LEG069848L;069848L;;;;0,1;Carton;;;;;
069849L;Sortie de câble étanche avec bornier 20A IP55 encastré - gris;GMR;Legrand;Appareillage;19,79;LEG069849L;069849L;;;;;;;;;;
069860L;PC 2P+T Plexo 16A 250V IP55 IK08 encastré - anthracite;GMR;Legrand;Appareillage;8,9901;LEG069860L;069860L;;;;;;;;;;
069901;VV GRIS SAILLIE PLEXO CPT;COREDIME;Legrand;Appareillage;9,6289;LEG069901;069901;;;;;;;;;;
069910;PC étanche avec volet de protection;COREDIME;Legrand;Appareillage;10,5064;LEG069910;069910;;;;;;;;;;
070071L;Interrupteur VV témoin Plexo 10A - complet montage en encastré avec griffes Gris;COMINTER;Legrand;Appareillage;10,53;LEG070071L;070071L;;;;;;;;;;
075611;Embout pour goulotte à clippage direct Mosaic 50x80mm - blanc;GMR;Legrand;Appareillage;4,213;LEG075611;075611;;;;;;;;;;
075690;SOLUCLIP GLT MOSAIC;RAVATE ELEC;Legrand;Appareillage;3,06;LEG075690;075690;;;;;;;;;;
076565;RJ45 C6 FTP 2 M MOSAIC;COREDIME;Legrand;Appareillage;5,4537;LEG076565;076565;;;;;;;;;;
076576;Prise RJ45 catégorie6A STP à blindage métal Mosaic 2 mod;RAVATE ELEC;Legrand;Appareillage;8,79;LEG076576;076576;;;;0,1;Colis;;;;;
077001L;VV EASYLED 10AX 1M BLANC;RAVATE ELEC;Legrand;Appareillage;2,79;LEG077001L;077001L;;;;;;;;;;
